"",""
"Action","Action"
"Actu Comment","Actu Comment"
"Actu Comments","Actu Comments"
"Actu Information","Actu Information"
"Actu comment","Actu comment"
"Actu was saved","Actu was saved"
"Actu was successfully deleted.","Actu was successfully deleted."
"Actu was successfully saved","Actu was successfully saved"
"Actu","Actu"
"Actus","Actus"
"Add Actu","Add Actu"
"Add New Actu Attribute","Add New Actu Attribute"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the actus.","An error occurred while updating the actus."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Content (full)","Content (full)"
"Could not find actu to delete.","Could not find actu to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Actu Attribute","Delete Actu Attribute"
"Delete Actu comment","Delete Actu comment"
"Delete Actu","Delete Actu"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Edit Actu '%s'","Edit Actu '%s'"
"Edit Actu Attribute ""%s""","Edit Actu Attribute ""%s"""
"Edit Actu Attribute","Edit Actu Attribute"
"Edit Actu comment '%s'","Edit Actu comment '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving actu","Error saving actu"
"Excel","Excel"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Manage Actu Attributes","Manage Actu Attributes"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Meta description for actus list page","Meta description for actus list page"
"Meta information","Meta information"
"Meta keywords for actus list page","Meta keywords for actus list page"
"Meta title for actus list page","Meta title for actus list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Actu Comments","My Actu Comments"
"My Actus comment view","My Actus comment view"
"New Actu Attribute","New Actu Attribute"
"No","No"
"None","None"
"Note","Note"
"On %s you wrote:","On %s you wrote:"
"Only used in detail page","Only used in detail page"
"Only used in list page","Only used in list page"
"Pending","Pending"
"Please select actus to delete.","Please select actus to delete."
"Please select actus.","Please select actus."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Properties","Properties"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save Actu Attribute","Save Actu Attribute"
"Save Actu comment","Save Actu comment"
"Save Actu","Save Actu"
"Save And Continue Edit","Save And Continue Edit"
"Scope","Scope"
"Short content","Short content"
"Show in rss","Show in rss"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
